id,info_size,info_start_date,info_live_date,GainTotalPct_BeforeLive_13mo+,GainTotalPct_BeforeLive_01mo,GainTotalPct_BeforeLive_03mo,GainTotalPct_BeforeLive_06mo,GainTotalPct_BeforeLive_12mo,GainAnnualizedPct_BeforeLive_13mo+,GainAnnualizedPct_BeforeLive_01mo,GainAnnualizedPct_BeforeLive_03mo,GainAnnualizedPct_BeforeLive_06mo,GainAnnualizedPct_BeforeLive_12mo,DrawdownMaxPct_BeforeLive_13mo+,DrawdownMaxPct_BeforeLive_01mo,DrawdownMaxPct_BeforeLive_03mo,DrawdownMaxPct_BeforeLive_06mo,DrawdownMaxPct_BeforeLive_12mo,Calmar_BeforeLive_13mo+,Calmar_BeforeLive_01mo,Calmar_BeforeLive_03mo,Calmar_BeforeLive_06mo,Calmar_BeforeLive_12mo,Sharpe_BeforeLive_13mo+,Sharpe_BeforeLive_01mo,Sharpe_BeforeLive_03mo,Sharpe_BeforeLive_06mo,Sharpe_BeforeLive_12mo,DayBestPct_BeforeLive_13mo+,DayBestPct_BeforeLive_01mo,DayBestPct_BeforeLive_03mo,DayBestPct_BeforeLive_06mo,DayBestPct_BeforeLive_12mo,DayWorstPct_BeforeLive_13mo+,DayWorstPct_BeforeLive_01mo,DayWorstPct_BeforeLive_03mo,DayWorstPct_BeforeLive_06mo,DayWorstPct_BeforeLive_12mo,DayAvgPct_BeforeLive_13mo+,DayAvgPct_BeforeLive_01mo,DayAvgPct_BeforeLive_03mo,DayAvgPct_BeforeLive_06mo,DayAvgPct_BeforeLive_12mo,DayStdDevPct_BeforeLive_13mo+,DayStdDevPct_BeforeLive_01mo,DayStdDevPct_BeforeLive_03mo,DayStdDevPct_BeforeLive_06mo,DayStdDevPct_BeforeLive_12mo
02nYbTdnTDhm9kqXm9RF,48749,2011-10-19,2022-09-21,103989.5874,-0.28920000000000073,37.921800000000005,38.3399,79.79459999999999,89.07091491671572,-2.707261926032878,262.5771842502379,93.59004313178596,79.46756261357532,25.70024931929983,1.4792781282440215,7.531162481813681,7.531146738358685,7.531074480215095,3.4657607329056974,-1.8301236760977029,34.865425475059354,12.42706408243251,10.551955477580892,1.701518232583394,-0.5513833834320903,3.5808115709014614,2.496467500938129,2.7403243826834087,57.3190672014128,0.7628650742401488,12.477202239992135,12.477188685022501,12.477119819292781,-12.531311362550602,-0.7497415724461831,-6.050253647571036,-6.050209819796626,-6.050177619893427,0.28305780690979154,-0.01093703953020531,0.5485934306202722,0.27963451054280697,0.24277593145832344,2.640820002034065,0.3148809435941564,2.4320326711962754,1.7781366012804425,1.4063840244820955
07v639EqQbevnj45GL1x,415608,2022-11-22,2023-10-22,,21.639899999999997,37.6607,181.9965,,,955.6351864103701,252.7100148742912,709.3366622805105,,,3.965122152393641,5.514051511704354,5.856468075075016,,,241.01027652665837,45.83018753776211,121.12021327315516,,,8.643779456138125,4.6851868459546475,6.951599403626376,,,4.146573518325414,5.713394482218459,5.873136568284143,,,-3.965122152393641,-4.1607637170158585,-4.1591022346423205,,,1.0029697521900094,0.5248720748505982,0.8587936824210468,,,1.841977956712295,1.778389241457287,1.9611209270898187,
09YXPkvrKkPS64r4nhXw,19349,2010-02-26,2023-12-28,6944.2171,7.631800000000003,5.794599999999991,44.7876,99.92470000000002,36.04126483830965,133.5355700399456,25.52285529541487,111.09226450294597,100.02471235617811,54.4209362029791,1.3827712911821055,12.033216608304143,13.995946775729106,13.99598235265811,0.6622683723022149,96.57097373332688,2.12103347975981,7.937459771967353,7.146673226347808,1.131371246445084,5.456385933908204,0.885610307111039,2.206760726828094,2.194323000355002,12.341154512515695,2.7133225793109172,6.60374783332649,7.676043436261293,7.675957042731429,-11.558252910191413,-0.8572941853770888,-6.521686712884966,-7.001523511133689,-7.16353593733563,0.14207470537379166,0.3583579717986824,0.11126845304069594,0.3263930431202839,0.2999006734229174,1.993480066916669,1.042586890151703,1.9944798732495213,2.3479341768033564,2.1695874302082236
0Aj9HRgodIFOZpIPEql0,285423,2023-12-21,2023-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BfsbDtcVcDNFVEsQgra,1772,2010-02-27,2023-07-23,2475.2383999999997,-0.10579999999999927,-1.1029000000000087,5.45,4.921900000000005,27.48262204900682,-0.7011584775854063,-4.213058120674096,11.500808357655412,5.0151639745357635,26.803747411969102,0.7831915957979052,2.1419109445877993,2.1419243385536024,19.535367620949728,1.0253276016447823,-0.895257918174001,-1.9669623199413078,5.369381238471604,0.2567222727437953,1.035851021344861,-0.19865429534351584,-1.2969623899550489,1.4013683061314586,0.34396757189364235,28.884823617178302,0.41001730917384904,0.41000753920690247,4.92271495309371,8.962368141907518,-20.314939437837843,-0.3424780383591397,-0.354648449443995,-0.5732068822456471,-5.706852722358269,0.11010533256127832,-0.0027160371944092267,-0.017142909703830717,0.04480644427267462,0.02710916558868471,1.6873738905097957,0.2170391218246447,0.20982509366032046,0.5075612520700912,1.2511198658047995
0ECQqFHg7qnZ9q7LIvv0,3111,2023-10-03,2024-01-10,,11.886599999999998,25.435000000000002,,,,287.2024756409497,151.71296505481112,,,,4.245964684711012,6.719587041010778,,,,67.64127753467105,22.5777215368863,,,,7.129353650668041,4.1150184284189155,,,,3.5429850088475323,3.557597454858308,,,,-1.5826742680544403,-3.1023519880054917,,,,0.5733551782091011,0.38378205495167256,,,,1.2766558839259599,1.4805161523054233,,
0EYsfDYns3Vz5xEHfbr7,1653,2023-08-26,2023-11-05,,9.730200000000004,,,,,206.5635155670244,,,,,3.647605118760666,,,,,56.62990067225472,,,,,5.563706663633266,,,,,3.3640153426375274,,,,,-3.647605118760666,,,,,0.47668611361778074,,,,,1.3600928154399792,,,
0Hef6wYatti9FKOf5CKn,34625,2012-11-03,2023-01-29,73398352.9657,26.143500000000003,67.6523,246.42430000000002,1958.5942000000002,275.0259287124478,2091.127078013693,747.1613058977237,1150.4456689637782,2010.0767390081987,43.77882123729708,7.892222885763999,11.833970692124174,12.444783822355877,13.431921117410628,6.282168430751198,264.96046909492003,63.13699140686394,92.44400588920729,149.64923642997812,2.5974206835113587,4.556246854561123,3.8387985379313214,4.527808083309227,5.040910731331416,50.01392709424361,11.000154822727982,11.000231741668776,12.225106505714201,15.482826687214768,-21.14220302841565,-7.892222885763999,-9.7039381616716,-9.703826163113883,-9.703749228167968,0.587038303089407,1.413516852196205,0.9389965143648717,1.0862956824348755,1.3040775484806453,3.5877685195243827,4.924861427777347,3.883013762381055,3.8085557158667878,4.106716108473433
0K6liVmTr0q82Y5HdspZ,2730,2010-02-12,2023-07-21,1706.24,4.650400000000008,19.758899999999993,29.28209999999999,14.591100000000006,24.068402839065996,69.28010515534653,108.52799252705792,67.99579552166874,14.64842421210606,54.449726563037515,3.2036554007806473,4.432612641450984,13.257552362440727,34.38600801724162,0.44202982013512104,21.62532997102771,24.483978480811277,5.12883477000657,0.4259995578655463,0.9478102518451428,2.5476410670970253,3.339955344212503,2.1689536001419167,0.5606626271684304,11.268542158603644,2.4498021706196083,3.42311813606595,3.844093323674991,11.253882821680673,-12.005573323838215,-2.9935068538764598,-2.9936301099151685,-4.244165275990164,-8.147293737828731,0.09963306186328766,0.22874553426775282,0.30729848410202454,0.2206501568771108,0.07972220929568737,1.6687156751280259,1.4253274647013527,1.4605621035201977,1.6149320348928364,2.25724130210304
0LIuSt7cqIfGVMCAQC0l,18765,2014-11-08,2022-11-11,602.4628,-3.8779000000000083,9.251399999999995,25.907700000000006,45.98790000000001,27.585871664091034,-34.80979561958512,41.958560441368206,58.6861356570231,45.842085201024304,13.558475246707724,5.696390881295965,5.696388482270787,5.696236700233193,9.875549004808082,2.034585096195787,-6.110850948428185,7.3658179339345216,10.302615348589816,4.641978403297406,1.7055798818074168,-2.334302224780476,1.9274567061923062,2.358088689010879,2.2405961030652857,7.206559251463407,1.3528028103259038,2.765206350194016,3.416979994411573,3.4198268776067353,-6.320273387699493,-3.612188866190502,-3.612113568235098,-3.612035878948394,-3.6121205551597035,0.1012050974678473,-0.17083145351652995,0.14876195264518877,0.19327739296439067,0.15658872299914386,0.9419559488291733,1.1617455631434335,1.2252014688051824,1.3011315093051328,1.1094230288255802
